from,to,value
E02000024,E02002031,1
E02000118,E02002038,1
E02000252,E02002033,1
E02000255,E02002033,1
E02000370,E02002033,1
E02000443,E02002038,1
E02000457,E02002038,1
E02000459,E02002038,1
E02000469,E02002038,1
E02000529,E02002037,1
E02000581,E02002033,1
E02000613,E02002033,1
E02000646,E02002034,2
E02000649,E02002034,1
E02000845,E02002038,1
E02000900,E02002033,1
E02000908,E02002033,1
E02001007,E02002033,1
E02001045,E02002037,2
E02001067,E02002036,1
E02001076,E02002036,1
E02001091,E02002033,1
E02001126,E02002033,1
E02001132,E02002033,1
E02001192,E02002038,1
E02001235,E02002035,1
E02001240,E02002034,1
E02001244,E02002033,1
E02001258,E02002032,1
E02001299,E02002038,1
E02001325,E02002034,1
E02001335,E02002038,1
E02001339,E02002038,1
E02001393,E02002033,1
E02001429,E02002033,1
E02001437,E02002034,1
E02001449,E02002033,4
E02001450,E02002036,1
E02001452,E02002033,1
E02001455,E02002033,1
E02001462,E02002036,1
E02001465,E02002036,2
E02001495,E02002038,1
E02001503,E02002038,1
E02001553,E02002033,1
E02001577,E02002030,1
E02001577,E02002033,1
E02001581,E02002033,1
E02001604,E02002033,1
E02001624,E02002038,1
E02001638,E02002036,1
E02001665,E02002030,1
E02001681,E02002038,1
E02001686,E02002031,1
E02001686,E02002033,1
E02001715,E02002033,1
E02001728,E02002033,2
E02001773,E02002033,1
E02001780,E02002033,1
E02001785,E02002033,1
E02001807,E02002033,1
E02001808,E02002038,1
E02001827,E02002033,3
E02001827,E02002035,1
E02001827,E02002037,1
E02001827,E02002038,5
E02001827,E02002039,2
E02001828,E02002033,4
E02001828,E02002038,2
E02001828,E02002039,1
E02001829,E02002033,2
E02001829,E02002034,1
E02001830,E02002033,4
E02001830,E02002034,1
E02001830,E02002038,2
E02001831,E02002030,1
E02001831,E02002033,4
E02001831,E02002038,1
E02001832,E02002033,1
E02001832,E02002034,1
E02001832,E02002036,1
E02001832,E02002038,3
E02001833,E02002033,2
E02001833,E02002034,1
E02001833,E02002036,1
E02001833,E02002039,1
E02001834,E02002033,6
E02001834,E02002034,1
E02001834,E02002035,1
E02001834,E02002038,1
E02001835,E02002031,1
E02001835,E02002033,4
E02001835,E02002034,1
E02001835,E02002038,3
E02001835,E02002039,1
E02001836,E02002033,7
E02001836,E02002034,3
E02001836,E02002035,1
E02001836,E02002036,2
E02001836,E02002038,1
E02001837,E02002031,1
E02001837,E02002033,2
E02001837,E02002034,1
E02001837,E02002035,1
E02001838,E02002033,1
E02001838,E02002034,1
E02001838,E02002038,3
E02001839,E02002030,1
E02001839,E02002033,6
E02001840,E02002031,1
E02001840,E02002034,1
E02001840,E02002038,1
E02001841,E02002031,1
E02001841,E02002032,1
E02001841,E02002033,1
E02001841,E02002034,3
E02001841,E02002039,1
E02001842,E02002031,1
E02001842,E02002033,1
E02001842,E02002034,1
E02001842,E02002038,2
E02001843,E02002031,1
E02001843,E02002032,4
E02001843,E02002033,2
E02001843,E02002039,1
E02001844,E02002030,1
E02001844,E02002031,2
E02001844,E02002033,10
E02001844,E02002034,1
E02001844,E02002035,1
E02001844,E02002038,1
E02001845,E02002031,2
E02001845,E02002032,1
E02001845,E02002033,2
E02001845,E02002034,1
E02001845,E02002038,4
E02001846,E02002034,2
E02001846,E02002035,1
E02001846,E02002038,1
E02001847,E02002033,1
E02001847,E02002038,1
