from,to,value
E02000001,W02000272,1
E02000097,W02000277,2
E02000099,W02000272,1
E02000171,W02000277,1
E02000188,W02000272,1
E02000236,W02000277,1
E02000265,W02000278,1
E02000272,W02000277,1
E02000272,W02000278,1
E02000379,W02000277,1
E02000411,W02000277,2
E02000457,W02000277,1
E02000501,W02000277,1
E02000524,W02000276,1
E02000532,W02000277,1
E02000555,W02000277,1
E02000565,W02000276,2
E02000585,W02000273,1
E02000627,W02000277,1
E02000655,W02000277,1
E02000712,W02000279,1
E02000760,W02000270,1
E02000852,W02000272,1
E02000908,W02000276,1
E02001062,W02000278,1
E02001076,W02000277,2
E02001168,W02000277,1
E02001177,W02000277,2
E02001185,W02000277,2
E02001213,W02000277,1
E02001220,W02000277,1
E02001266,W02000276,1
E02001332,W02000277,1
E02001556,W02000272,1
E02001568,W02000272,1
E02001640,W02000272,1
E02001783,W02000277,1
E02001788,W02000277,1
E02001862,W02000277,1
E02001870,W02000273,1
E02001874,W02000273,2
E02001874,W02000277,1
E02001916,W02000277,1
E02001935,W02000273,1
E02001945,W02000277,1
E02002009,W02000272,1
E02002064,W02000272,1
E02002074,W02000277,1
E02002076,W02000277,1
E02002098,W02000277,1
E02002157,W02000277,1
E02002175,W02000272,1
E02002186,W02000271,1
E02002230,W02000273,1
E02002268,W02000271,2
E02002296,W02000277,1
E02002327,W02000277,1
E02002479,W02000272,1
E02002539,W02000277,1
E02002597,W02000276,1
E02002612,W02000277,1
E02002906,W02000277,2
E02002919,W02000272,1
E02002921,W02000277,1
E02002922,W02000277,1
E02002925,W02000277,1
E02002926,W02000276,1
E02002926,W02000277,2
E02002955,W02000277,1
E02002985,W02000277,1
E02002993,W02000277,1
E02002998,W02000277,2
E02003004,W02000276,1
E02003006,W02000276,2
E02003012,W02000272,1
E02003012,W02000273,1
E02003014,W02000276,1
E02003014,W02000277,1
E02003016,W02000273,1
E02003017,W02000274,1
E02003020,W02000277,2
E02003021,W02000276,1
E02003022,W02000272,1
E02003026,W02000273,1
E02003027,W02000277,1
E02003028,W02000277,2
E02003033,W02000273,1
E02003039,W02000277,1
E02003046,W02000273,1
E02003051,W02000277,1
E02003054,W02000276,1
E02003068,W02000273,1
E02003071,W02000276,1
E02003073,W02000276,1
E02003077,W02000277,1
E02003080,W02000277,2
E02003081,W02000277,1
E02003082,W02000273,1
E02003082,W02000277,1
E02003085,W02000272,1
E02003086,W02000277,1
E02003087,W02000276,1
E02003087,W02000277,2
E02003093,W02000273,1
E02003094,W02000273,3
E02003094,W02000276,1
E02003094,W02000277,1
E02003095,W02000276,1
E02003096,W02000276,1
E02003098,W02000277,3
E02003100,W02000273,2
E02003101,W02000279,1
E02003102,W02000277,2
E02003104,W02000277,1
E02003105,W02000277,1
E02003109,W02000274,1
E02003109,W02000276,1
E02003110,W02000276,1
E02003110,W02000277,1
E02003111,W02000277,1
E02003114,W02000276,1
E02003114,W02000277,1
E02003116,W02000276,3
E02003179,W02000276,1
E02003180,W02000271,1
E02003216,W02000277,1
E02003217,W02000277,1
E02003218,W02000277,1
E02003222,W02000277,1
E02003395,W02000277,1
E02003396,W02000277,1
E02003407,W02000277,1
E02003487,W02000272,1
E02003500,W02000277,1
E02003539,W02000277,1
E02003545,W02000277,1
E02003546,W02000276,1
E02003549,W02000277,1
E02003608,W02000270,2
E02003680,W02000277,1
E02003705,W02000279,1
E02003709,W02000271,1
E02003802,W02000273,1
E02003888,W02000277,1
E02003900,W02000274,1
E02003934,W02000272,1
E02003946,W02000272,1
E02003956,W02000277,1
E02003963,W02000277,1
E02004075,W02000277,1
E02004117,W02000277,1
E02004144,W02000276,1
E02004149,W02000273,1
E02004153,W02000277,1
E02004174,W02000278,1
E02004180,W02000277,1
E02004231,W02000270,1
E02004375,W02000271,1
E02004394,W02000273,1
E02004481,W02000272,1
E02004575,W02000277,1
E02004608,W02000276,1
E02004609,W02000277,1
E02004611,W02000272,1
E02004611,W02000277,1
E02004622,W02000276,1
E02004625,W02000276,1
E02004629,W02000277,1
E02004630,W02000272,1
E02004630,W02000273,2
E02004631,W02000273,1
E02004632,W02000276,1
E02004635,W02000272,1
E02004635,W02000273,2
E02004639,W02000270,1
E02004639,W02000276,1
E02004642,W02000277,1
E02004647,W02000276,1
E02004650,W02000276,1
E02004654,W02000276,2
E02004659,W02000273,1
E02004662,W02000273,1
E02004666,W02000277,2
E02004667,W02000273,1
E02004670,W02000277,1
E02004717,W02000273,1
E02004803,W02000273,1
E02004951,W02000277,1
E02004957,W02000277,1
E02004961,W02000277,1
E02004976,W02000277,1
E02005101,W02000276,1
E02005189,W02000277,1
E02005203,W02000277,1
E02005206,W02000277,1
E02005216,W02000277,1
E02005225,W02000273,1
E02005239,W02000273,1
E02005277,W02000272,1
