from,to,value
E02000001,E02000631,3
E02000001,E02000633,1
E02000001,E02000638,1
E02000003,E02000631,2
E02000003,E02000635,1
E02000004,E02000631,1
E02000004,E02000633,2
E02000005,E02000630,1
E02000005,E02000633,2
E02000005,E02000638,1
E02000007,E02000634,1
E02000008,E02000630,2
E02000008,E02000631,1
E02000008,E02000636,1
E02000009,E02000631,2
E02000009,E02000636,1
E02000010,E02000630,1
E02000010,E02000631,1
E02000010,E02000633,1
E02000010,E02000634,1
E02000011,E02000630,2
E02000011,E02000635,1
E02000011,E02000636,2
E02000011,E02000638,1
E02000012,E02000630,2
E02000012,E02000631,3
E02000012,E02000634,1
E02000013,E02000631,1
E02000013,E02000636,1
E02000014,E02000631,3
E02000014,E02000633,1
E02000014,E02000635,1
E02000015,E02000633,1
E02000015,E02000635,1
E02000015,E02000638,2
E02000016,E02000630,2
E02000016,E02000631,1
E02000016,E02000634,2
E02000016,E02000636,4
E02000016,E02000637,1
E02000017,E02000630,3
E02000017,E02000631,1
E02000017,E02000635,2
E02000017,E02000638,2
E02000018,E02000631,1
E02000018,E02000638,2
E02000019,E02000631,1
E02000019,E02000632,1
E02000020,E02000630,1
E02000020,E02000631,2
E02000020,E02000635,1
E02000020,E02000636,1
E02000021,E02000631,2
E02000022,E02000631,2
E02000022,E02000634,1
E02000022,E02000635,2
E02000022,E02000636,1
E02000023,E02000633,1
E02000023,E02000636,1
E02000024,E02000630,1
E02000025,E02000630,7
E02000025,E02000632,1
E02000025,E02000633,2
E02000025,E02000634,1
E02000026,E02000630,1
E02000026,E02000634,1
E02000026,E02000636,1
E02000027,E02000632,1
E02000027,E02000634,1
E02000029,E02000631,1
E02000029,E02000636,1
E02000030,E02000631,1
E02000030,E02000634,2
E02000031,E02000630,1
E02000031,E02000632,1
E02000031,E02000633,1
E02000031,E02000634,1
E02000031,E02000638,1
E02000032,E02000631,2
E02000032,E02000633,3
E02000032,E02000634,1
E02000033,E02000630,1
E02000033,E02000632,1
E02000034,E02000631,1
E02000035,E02000631,2
E02000035,E02000634,1
E02000036,E02000631,2
E02000037,E02000631,2
E02000037,E02000633,1
E02000038,E02000631,2
E02000038,E02000632,3
E02000039,E02000631,4
E02000039,E02000634,1
E02000039,E02000637,2
E02000040,E02000633,1
E02000040,E02000634,2
E02000040,E02000638,1
E02000041,E02000631,1
E02000041,E02000634,1
E02000042,E02000630,1
E02000042,E02000631,4
E02000042,E02000633,1
E02000042,E02000634,1
E02000043,E02000630,6
E02000043,E02000631,2
E02000043,E02000634,1
E02000044,E02000630,1
E02000044,E02000634,1
E02000045,E02000630,4
E02000045,E02000631,2
E02000045,E02000632,1
E02000045,E02000634,1
E02000045,E02000636,1
E02000046,E02000630,2
E02000046,E02000631,1
E02000046,E02000634,2
E02000046,E02000635,1
E02000046,E02000636,2
E02000047,E02000630,1
E02000047,E02000631,1
E02000048,E02000631,4
E02000048,E02000633,1
E02000049,E02000631,1
E02000049,E02000634,1
E02000049,E02000636,1
E02000050,E02000630,3
E02000050,E02000633,2
E02000051,E02000630,1
E02000051,E02000631,1
E02000052,E02000630,1
E02000052,E02000631,5
E02000052,E02000633,3
E02000052,E02000634,4
E02000053,E02000630,3
E02000053,E02000631,3
E02000053,E02000632,1
E02000053,E02000633,1
E02000053,E02000634,1
E02000053,E02000636,1
E02000053,E02000638,1
E02000054,E02000630,1
E02000054,E02000631,1
E02000054,E02000635,1
E02000055,E02000630,1
E02000055,E02000631,5
E02000055,E02000633,1
E02000055,E02000635,2
E02000056,E02000631,5
E02000056,E02000633,3
E02000056,E02000634,1
E02000057,E02000631,4
E02000057,E02000638,1
E02000058,E02000630,1
E02000058,E02000631,6
E02000058,E02000633,1
E02000058,E02000638,2
E02000059,E02000631,3
E02000059,E02000633,1
E02000059,E02000634,3
E02000059,E02000636,1
E02000059,E02000637,1
E02000059,E02000639,1
E02000060,E02000630,3
E02000060,E02000631,3
E02000061,E02000630,1
E02000061,E02000631,3
E02000061,E02000633,1
E02000062,E02000630,1
E02000062,E02000631,2
E02000062,E02000638,1
E02000064,E02000631,2
E02000064,E02000633,1
E02000065,E02000630,1
E02000065,E02000631,14
E02000065,E02000633,3
E02000065,E02000634,1
E02000065,E02000636,1
E02000065,E02000638,3
E02000066,E02000631,9
E02000066,E02000633,1
E02000066,E02000635,1
E02000066,E02000636,1
E02000066,E02000637,1
E02000066,E02000638,3
E02000066,E02000639,1
E02000067,E02000630,1
E02000067,E02000631,7
E02000067,E02000636,1
E02000067,E02000638,1
E02000068,E02000631,11
E02000068,E02000633,3
E02000068,E02000634,2
E02000069,E02000631,3
E02000069,E02000633,1
E02000070,E02000631,8
E02000070,E02000633,2
E02000071,E02000630,1
E02000071,E02000631,10
E02000071,E02000633,1
E02000071,E02000636,1
E02000071,E02000637,1
E02000071,E02000638,2
E02000072,E02000631,13
E02000072,E02000633,3
E02000072,E02000634,1
E02000072,E02000635,1
E02000072,E02000636,2
E02000072,E02000637,3
E02000072,E02000638,3
E02000073,E02000630,1
E02000073,E02000631,12
E02000073,E02000633,2
E02000073,E02000635,3
E02000073,E02000637,1
E02000073,E02000638,1
E02000073,E02000639,2
E02000074,E02000631,4
